identifier,entity
SENIOR LIBRARY & INFORMATION ASSISTANT,SENIOR LIBRARY & INFORMATION ASSISTANT
SENIOR LIBRARY & INFORMATION OFFICER,SENIOR LIBRARY & INFORMATION OFFICER
SENIOR LIBRARY ASSISTANT,SENIOR LIBRARY ASSISTANT
SENIOR LIBRARY ATTENDANT,SENIOR LIBRARY ATTENDANT
SENIOR MACHINE OPERATOR,SENIOR MACHINE OPERATOR
SENIOR MANAGER,SENIOR MANAGER
SENIOR MARINE ENGINEER,SENIOR MARINE ENGINEER
SENIOR MARINE SURVEYOR,SENIOR MARINE SURVEYOR
SENIOR MARKETING OFFICER,SENIOR MARKETING OFFICER
SENIOR MATERIALS MANAGER,SENIOR MATERIALS MANAGER
SENIOR MECHANICAL ENGINEER,SENIOR MECHANICAL ENGINEER
SENIOR MEDICAL OFFICER,SENIOR MEDICAL OFFICER
SENIOR MEDICAL SPECIALIST,SENIOR MEDICAL SPECIALIST
SENIOR MEDICAL SUPERINTENDENT,SENIOR MEDICAL SUPERINTENDENT
SENIOR MINING GEOLOGIST,SENIOR MINING GEOLOGIST
SENIOR NAVAL STORE OFFICER,SENIOR NAVAL STORE OFFICER
SENIOR NURSING OFFICER,SENIOR NURSING OFFICER
SENIOR OFFICE SUPERTENDENT,SENIOR OFFICE SUPERTENDENT
SENIOR OPERATOR,SENIOR OPERATOR
SENIOR PARLIAMENTARY INTERPRETER,SENIOR PARLIAMENTARY INTERPRETER
SENIOR PARLIAMENTARY REPORTER,SENIOR PARLIAMENTARY REPORTER
SENIOR PATHOLOGIST,SENIOR PATHOLOGIST
SENIOR PEON,SENIOR PEON
SENIOR PERSONAL ASSISTANT,SENIOR PERSONAL ASSISTANT
SENIOR PERSONAL ASSISTANT GRADE-1,SENIOR PERSONAL ASSISTANT GRADE-1
SENIOR PERSONAL SECRETARY,SENIOR PERSONAL SECRETARY
SENIOR PERSONNEL OFFICER,SENIOR PERSONNEL OFFICER
SENIOR PHARMACIST,SENIOR PHARMACIST
SENIOR PHOTOGRAPHER,SENIOR PHOTOGRAPHER
SENIOR POLICY ADVISER,SENIOR POLICY ADVISER
SENIOR POLITICAL AFFAIRS OFFICER,SENIOR POLITICAL AFFAIRS OFFICER
SENIOR POSTMASTER,SENIOR POSTMASTER
SENIOR PRINCIPAL PRIVATE SECRETARY,SENIOR PRINCIPAL PRIVATE SECRETARY
SENIOR PRINCIPAL SECRETARY,SENIOR PRINCIPAL SECRETARY
SENIOR PRINTING ASSISTANT,SENIOR PRINTING ASSISTANT
SENIOR PRIVATE SECRETARY,SENIOR PRIVATE SECRETARY
SENIOR PRODUCER,SENIOR PRODUCER
SENIOR PRODUCTION ASSISTANT,SENIOR PRODUCTION ASSISTANT
SENIOR PROFESSIONAL,SENIOR PROFESSIONAL
SENIOR PROFESSOR,SENIOR PROFESSOR
SENIOR PROGRAMME OFFICER,SENIOR PROGRAMME OFFICER
SENIOR PROGRAMMER,SENIOR PROGRAMMER
SENIOR PROJECT EXECUTIVE,SENIOR PROJECT EXECUTIVE
SENIOR PROJECTIONIST,SENIOR PROJECTIONIST
SENIOR PROTOCOL ASSISTANT,SENIOR PROTOCOL ASSISTANT
SENIOR PUBLIC PROSECUTOR,SENIOR PUBLIC PROSECUTOR
SENIOR PUBLIC SECTOR SPECIALIST,SENIOR PUBLIC SECTOR SPECIALIST
SENIOR PUBLICATION OFFICER,SENIOR PUBLICATION OFFICER
SENIOR PUBLICITY INSPECTOR,SENIOR PUBLICITY INSPECTOR
SENIOR QUALITY ASSURANCE OFFICER,SENIOR QUALITY ASSURANCE OFFICER
SENIOR RECEPTIONIST,SENIOR RECEPTIONIST
SENIOR RECORD KEEPER,SENIOR RECORD KEEPER
SENIOR REGIONAL DIRECTOR,SENIOR REGIONAL DIRECTOR
SENIOR REGIONAL MANAGER,SENIOR REGIONAL MANAGER
SENIOR REPROGRAPHER,SENIOR REPROGRAPHER
SENIOR RESEARCH INVESTIGATOR,SENIOR RESEARCH INVESTIGATOR
SENIOR RESEARCH OFFICER,SENIOR RESEARCH OFFICER
SENIOR RESIDENT,SENIOR RESIDENT
SENIOR RONEO OPERATOR,SENIOR RONEO OPERATOR
SENIOR SAFETY OFFICER,SENIOR SAFETY OFFICER
SENIOR SCIENTIFIC ASSISTANT,SENIOR SCIENTIFIC ASSISTANT
SENIOR SCIENTIFIC OFFICER,SENIOR SCIENTIFIC OFFICER
SENIOR SCIENTIFIC OFFICER- I,SENIOR SCIENTIFIC OFFICER- I
SENIOR SCIENTIFIC OFFICER- II,SENIOR SCIENTIFIC OFFICER- II
SENIOR SECRETARIAT ASSISTANT,SENIOR SECRETARIAT ASSISTANT
SENIOR SECTION ENGINEER,SENIOR SECTION ENGINEER
SENIOR SECTION OFFICER,SENIOR SECTION OFFICER
SENIOR SIGNAL & TELECOM ENGINEER,SENIOR SIGNAL & TELECOM ENGINEER
SENIOR SOCIAL SECURITY ASSISTANT,SENIOR SOCIAL SECURITY ASSISTANT
SENIOR SOFTWARE DEVELOPER,SENIOR SOFTWARE DEVELOPER
SENIOR SPECIALIST,SENIOR SPECIALIST
SENIOR STAFF NURSE,SENIOR STAFF NURSE
SENIOR STAFF OFFICER,SENIOR STAFF OFFICER
SENIOR STATISTICAL OFFICER,SENIOR STATISTICAL OFFICER
SENIOR STATISTICS AND ANALYSIS OFFICER,SENIOR STATISTICS AND ANALYSIS OFFICER
SENIOR STENOGRAPHER,SENIOR STENOGRAPHER
SENIOR STORE KEEPER,SENIOR STORE KEEPER
SENIOR STORE OFFICER,SENIOR STORE OFFICER
SENIOR STORE SUPERINTENDENT,SENIOR STORE SUPERINTENDENT
SENIOR SUPERINTENDENT,SENIOR SUPERINTENDENT
SENIOR SUPERINTENDENT OF POLICE,SENIOR SUPERINTENDENT OF POLICE
SENIOR SUPERVISOR,SENIOR SUPERVISOR
SENIOR SURGEON,SENIOR SURGEON
SENIOR SURVEYOR,SENIOR SURVEYOR
SENIOR SYSTEMS ANALYST,SENIOR SYSTEMS ANALYST
SENIOR TECHNICAL ASSISTANT,SENIOR TECHNICAL ASSISTANT
SENIOR TECHNICAL DIRECTOR,SENIOR TECHNICAL DIRECTOR
SENIOR TECHNICAL EXPERT,SENIOR TECHNICAL EXPERT
SENIOR TECHNICAL MANAGER,SENIOR TECHNICAL MANAGER
SENIOR TECHNICAL OFFICER,SENIOR TECHNICAL OFFICER
SENIOR TECHNICAL PUB OFFICER,SENIOR TECHNICAL PUB OFFICER
SENIOR TECHNICIAN,SENIOR TECHNICIAN
SENIOR TICKET SELLER GRADE I,SENIOR TICKET SELLER GRADE I
SENIOR TICKET SELLER GRADE II,SENIOR TICKET SELLER GRADE II
SENIOR TIME SCALE,SENIOR TIME SCALE
SENIOR TIME SCALE (NON FUNCTIONAL SECOND GRADE),SENIOR TIME SCALE (NON FUNCTIONAL SECOND GRADE)
SENIOR TRADE OFFICER,SENIOR TRADE OFFICER
SENIOR TRAFFIC INSPECTOR,SENIOR TRAFFIC INSPECTOR
SENIOR TRANSLATION OFFICER,SENIOR TRANSLATION OFFICER
SENIOR TRANSLATOR,SENIOR TRANSLATOR
SENIOR TRANSPORT SUPERVISOR,SENIOR TRANSPORT SUPERVISOR
SENIOR TRANSPORTATION MANAGER,SENIOR TRANSPORTATION MANAGER
SENIOR TRAVELLING INSPECTOR OF ACCOUNTS,SENIOR TRAVELLING INSPECTOR OF ACCOUNTS
SENIOR TREASURY OFFICER,SENIOR TREASURY OFFICER
SENIOR UTILITIES SPECIALIST,SENIOR UTILITIES SPECIALIST
SENIOR VETERINARY OFFICER,SENIOR VETERINARY OFFICER
SENIOR VICE PRESIDENT,SENIOR VICE PRESIDENT
SENIOR VIGILANCE OFFICER,SENIOR VIGILANCE OFFICER
SENIOR WELFARE OFFICER,SENIOR WELFARE OFFICER
SENIOR WORKS STUDY OFFICER,SENIOR WORKS STUDY OFFICER
SEROLOGIST,SEROLOGIST
SETTLEMENT COMMISSIONER,SETTLEMENT COMMISSIONER
SETTLEMENT OFFICER,SETTLEMENT OFFICER
SEWERMAN,SEWERMAN
SITE ENGINEER,SITE ENGINEER
SNCU DATA ANALYST,SNCU DATA ANALYST
SOCIAL SECURITY ASSISTANT,SOCIAL SECURITY ASSISTANT
SOCIAL SECURITY OFFICER,SOCIAL SECURITY OFFICER
SOFTWARE DEVELOPER,SOFTWARE DEVELOPER
SOFTWARE ENGINEER,SOFTWARE ENGINEER
SOIL CONSERVATOR,SOIL CONSERVATOR
SOUND RECORDIST,SOUND RECORDIST
SPEAKER,SPEAKER
SPECIAL ADDITIONAL COMMISSIONER OF POLICE,SPECIAL ADDITIONAL COMMISSIONER OF POLICE
SPECIAL ASSISTANT,SPECIAL ASSISTANT
SPECIAL ASSISTANT COMMSSIONER,SPECIAL ASSISTANT COMMSSIONER
SPECIAL AUDITOR,SPECIAL AUDITOR
SPECIAL CHIEF ELECTION COMMISSIONER,SPECIAL CHIEF ELECTION COMMISSIONER
SPECIAL CHIEF ELECTORAL OFFICER,SPECIAL CHIEF ELECTORAL OFFICER
SPECIAL CHIEF SECRETARY,SPECIAL CHIEF SECRETARY
SPECIAL COLLECTOR,SPECIAL COLLECTOR
SPECIAL COMMISSIONER,SPECIAL COMMISSIONER
SPECIAL COMMISSIONER OF POLICE,SPECIAL COMMISSIONER OF POLICE
SPECIAL CORRESPONDENT,SPECIAL CORRESPONDENT
SPECIAL DEPUTY COMMISSIONER,SPECIAL DEPUTY COMMISSIONER
SPECIAL DEPUTY SUPERINTENDENT,SPECIAL DEPUTY SUPERINTENDENT
SPECIAL DIRECTOR,SPECIAL DIRECTOR
SPECIAL DIRECTOR GENERAL,SPECIAL DIRECTOR GENERAL
SPECIAL DIRECTOR GENERAL OF POLICE,SPECIAL DIRECTOR GENERAL OF POLICE
SPECIAL DIRECTOR GENERAL QUALITY ASSURANCE,SPECIAL DIRECTOR GENERAL QUALITY ASSURANCE
SPECIAL DISTRICT DEVOLOPMENT OFFICER,SPECIAL DISTRICT DEVOLOPMENT OFFICER
SPECIAL INSPECTOR GENERAL OF POLICE,SPECIAL INSPECTOR GENERAL OF POLICE
SPECIAL LAND ACQUISITION OFFICER,SPECIAL LAND ACQUISITION OFFICER
SPECIAL NEWS CORRESPONDENT,SPECIAL NEWS CORRESPONDENT
SPECIAL OFFICER,SPECIAL OFFICER
SPECIAL PRINCIPAL CHIEF CONSERVATOR OF FORESTS,SPECIAL PRINCIPAL CHIEF CONSERVATOR OF FORESTS
SPECIAL PRINCIPAL SECRETARY,SPECIAL PRINCIPAL SECRETARY
SPECIAL PRIVATE SECRETARY,SPECIAL PRIVATE SECRETARY
SPECIAL PROGRAMME OFFICER,SPECIAL PROGRAMME OFFICER
SPECIAL REGISTRAR,SPECIAL REGISTRAR
SPECIAL RELIEF COMMISSIONER,SPECIAL RELIEF COMMISSIONER
SPECIAL RESIDENT COMMISSIONER,SPECIAL RESIDENT COMMISSIONER
SPECIAL SECRETARY,SPECIAL SECRETARY
SPECIAL SECRETARY & FINANCIAL ADVISER,SPECIAL SECRETARY & FINANCIAL ADVISER
SPECIAL SENIOR ADVISER,SPECIAL SENIOR ADVISER
SPECIAL SUPERINTENDENT OF POLICE,SPECIAL SUPERINTENDENT OF POLICE
SPECIAL VIGILANCE COMMISSIONER,SPECIAL VIGILANCE COMMISSIONER
SPECIALIST,SPECIALIST
SPECIALIST GRADE I,SPECIALIST GRADE I
SPECIALIST GRADE II,SPECIALIST GRADE II
SPECIALIST GRADE III,SPECIALIST GRADE III
SPECIALIST MEDICAL OFFICER GRADE I,SPECIALIST MEDICAL OFFICER GRADE I
SPECIALIST MEDICAL OFFICER GRADE II,SPECIALIST MEDICAL OFFICER GRADE II
SPORTS OFFICER,SPORTS OFFICER
STAFF CAR DRIVER,STAFF CAR DRIVER
STAFF CAR DRIVER GRADE I,STAFF CAR DRIVER GRADE I
STAFF CAR DRIVER GRADE II,STAFF CAR DRIVER GRADE II
STAFF CAR DRIVER ORDINARY GRADE,STAFF CAR DRIVER ORDINARY GRADE
STAFF CAR DRIVER SPECIAL GRADE,STAFF CAR DRIVER SPECIAL GRADE
STAFF NURSE,STAFF NURSE
STAFF OFFICER,STAFF OFFICER
STAFF SURGEON,STAFF SURGEON
STAGEHAND,STAGEHAND
STATE  DIVISIONAL OFFICER,STATE  DIVISIONAL OFFICER
STATE COMMANDANT,STATE COMMANDANT
STATE COMMUNITY MOBILIZER,STATE COMMUNITY MOBILIZER
STATE CONSULTANT,STATE CONSULTANT
STATE CO-OPERATIVE ELECTION COMMISSIONER,STATE CO-OPERATIVE ELECTION COMMISSIONER
STATE DATA ANALYST,STATE DATA ANALYST
STATE EDITOR,STATE EDITOR
STATE ELECTION COMMISSIONER,STATE ELECTION COMMISSIONER
STATE FINANCE MANAGER,STATE FINANCE MANAGER
STATE INFORMATION COMMISSIONER,STATE INFORMATION COMMISSIONER
STATE MINISTER,STATE MINISTER
STATE PROGRAM MANAGER,STATE PROGRAM MANAGER
STATE PROJECT COORDINATOR,STATE PROJECT COORDINATOR
STATE PROJECT DIRECTOR,STATE PROJECT DIRECTOR
STATE PROJECT MANAGER,STATE PROJECT MANAGER
STATE PROTOCOL ASSOCIATE,STATE PROTOCOL ASSOCIATE
STATE PROTOCOL OFFICER,STATE PROTOCOL OFFICER
STATE REPRESENTATIVE,STATE REPRESENTATIVE
STATE RESERVE POLICE,STATE RESERVE POLICE
STATE SNCU DATA ASSISTANT,STATE SNCU DATA ASSISTANT
STATE SUPERVISOR,STATE SUPERVISOR
STATE TAX OFFICER,STATE TAX OFFICER
STATE TRANSPORT CONTROLLER,STATE TRANSPORT CONTROLLER
STATION DIRECTOR,STATION DIRECTOR
STATION MANAGER,STATION MANAGER
STATION OFFICER,STATION OFFICER
STATISTICAL ADVISER,STATISTICAL ADVISER
STATISTICAL AND RESEARCH OFFICER,STATISTICAL AND RESEARCH OFFICER
STATISTICAL ASSISTANT,STATISTICAL ASSISTANT
STATISTICAL COMPUTER,STATISTICAL COMPUTER
STATISTICAL INSPECTOR,STATISTICAL INSPECTOR
STATISTICAL INVESTIGATOR,STATISTICAL INVESTIGATOR
STATISTICAL OFFICER,STATISTICAL OFFICER
STENO GRADE C,STENO GRADE C
STENO GRADE D,STENO GRADE D
STENO TYPIST,STENO TYPIST
STENOGRAPHER,STENOGRAPHER
STENOGRAPHER GRADE-I,STENOGRAPHER GRADE-I
STENOGRAPHER GRADE-II,STENOGRAPHER GRADE-II
STENOGRAPHER GRADE-III,STENOGRAPHER GRADE-III
STORE IN CHARGE,STORE IN CHARGE
STORE KEEPER,STORE KEEPER
STORE KEEPER GRADE-I,STORE KEEPER GRADE-I
STORE OFFICER,STORE OFFICER
STORE PURCHASE OFFICER,STORE PURCHASE OFFICER
STORE SUPERINTENDENT,STORE SUPERINTENDENT
STORE SUPERVISOR GRADE-I,STORE SUPERVISOR GRADE-I
STORES ASSISTANT,STORES ASSISTANT
STORES OFFICER I,STORES OFFICER I
STORES OFFICER II,STORES OFFICER II
STUDENT OFFICER,STUDENT OFFICER
SUB AUDITOR,SUB AUDITOR
SUB COLLECTOR,SUB COLLECTOR
SUB DIVISIONAL COMMISSIONER,SUB DIVISIONAL COMMISSIONER
SUB DIVISIONAL ENGINEER,SUB DIVISIONAL ENGINEER
SUB DIVISIONAL MAGISTRATE,SUB DIVISIONAL MAGISTRATE
SUB DIVISIONAL MANAGER,SUB DIVISIONAL MANAGER
SUB DIVISIONAL OFFICER,SUB DIVISIONAL OFFICER
SUB DIVISIONAL OFFICER OF POLICE,SUB DIVISIONAL OFFICER OF POLICE
SUB DIVISIONAL POLICE OFFICER,SUB DIVISIONAL POLICE OFFICER
SUB DIVISIONAL PROSECUTION OFFICER,SUB DIVISIONAL PROSECUTION OFFICER
SUB DIVISIONAL PUBLIC GRIEVANCE REDRESSAL OFFICER,SUB DIVISIONAL PUBLIC GRIEVANCE REDRESSAL OFFICER
SUB DIVISIONAL SECRETARY,SUB DIVISIONAL SECRETARY
SUB EDITOR,SUB EDITOR
SUB ENGINEER,SUB ENGINEER
SUB INSPECTOR,SUB INSPECTOR
SUB MISSION DIRECTOR,SUB MISSION DIRECTOR
SUB REGIONAL EMPLOYMENT OFFICER,SUB REGIONAL EMPLOYMENT OFFICER
SUBJECT INSPECTOR,SUBJECT INSPECTOR
SUBJECT MATTER SPECIALIST,SUBJECT MATTER SPECIALIST
SUBSTANTIVE APPOINTMENT,SUBSTANTIVE APPOINTMENT
SUGARCANE COMMISSIONER,SUGARCANE COMMISSIONER
SUPERINTENDENT,SUPERINTENDENT
SUPERINTENDENT ENGINEER,SUPERINTENDENT ENGINEER
SUPERINTENDENT ENGINEER C,SUPERINTENDENT ENGINEER C
SUPERINTENDENT GRADE-1,SUPERINTENDENT GRADE-1
SUPERINTENDENT MINING GEOLOGIST,SUPERINTENDENT MINING GEOLOGIST
SUPERINTENDENT OF AGRICULTURE (FARM),SUPERINTENDENT OF AGRICULTURE (FARM)
SUPERINTENDENT OF EXCISE,SUPERINTENDENT OF EXCISE
SUPERINTENDENT OF FISHERIES,SUPERINTENDENT OF FISHERIES
SUPERINTENDENT OF LAND RECORDS,SUPERINTENDENT OF LAND RECORDS
SUPERINTENDENT OF POLICE,SUPERINTENDENT OF POLICE
SUPERINTENDENT POLICE RADIIO,SUPERINTENDENT POLICE RADIIO
SUPERINTENDING ENGINEER,SUPERINTENDING ENGINEER
SUPERINTENDING SURVEYOR,SUPERINTENDING SURVEYOR
SUPERVISOR,SUPERVISOR
SUPERVISOR-III,SUPERVISOR-III
SURGEON,SURGEON
SURGICAL SPECIALIST,SURGICAL SPECIALIST
SURVEYOR,SURVEYOR
SURVEYOR GENERAL OF INDIA,SURVEYOR GENERAL OF INDIA
SWEEPER,SWEEPER
SYCE,SYCE
SYSTEM ADMINISTRATOR,SYSTEM ADMINISTRATOR
SYSTEM ANALYST,SYSTEM ANALYST
TAEKWANDO INSTRUCTOR,TAEKWANDO INSTRUCTOR
TAHSILDAR,TAHSILDAR
TAILOR,TAILOR
TALLY CONVERSANT,TALLY CONVERSANT
TALLY OPERATOR,TALLY OPERATOR
TALUK HEALTH OFFICER,TALUK HEALTH OFFICER
TALUK SOCIAL WELFARE OFFICER,TALUK SOCIAL WELFARE OFFICER
TAPE LIBRARIAN JUNIOR,TAPE LIBRARIAN JUNIOR
TAPE LIBRARIAN SENIOR,TAPE LIBRARIAN SENIOR
TAX ASSISTANT,TAX ASSISTANT
TAX OFFICER,TAX OFFICER
TEA MAKER,TEA MAKER
TEACHER,TEACHER
TEACHING ASSISTANT,TEACHING ASSISTANT
TEACHING ASSOCIATE,TEACHING ASSOCIATE
TEAM COMMANDER,TEAM COMMANDER
TEAM LEADER,TEAM LEADER
TECHNICAL ADVISER,TECHNICAL ADVISER
TECHNICAL ASSISTANT,TECHNICAL ASSISTANT
TECHNICAL ASSISTANT A,TECHNICAL ASSISTANT A
TECHNICAL ASSISTANT B,TECHNICAL ASSISTANT B
TECHNICAL ASSISTANT C,TECHNICAL ASSISTANT C
TECHNICAL ATTENDANT,TECHNICAL ATTENDANT
TECHNICAL ATTENDANT GRADE-1,TECHNICAL ATTENDANT GRADE-1
TECHNICAL ATTENDANT GRADE-2,TECHNICAL ATTENDANT GRADE-2
TECHNICAL ATTENDANT GRADE-3,TECHNICAL ATTENDANT GRADE-3
TECHNICAL ATTENDANT GRADE-4,TECHNICAL ATTENDANT GRADE-4
TECHNICAL ATTENDANT GRADE-5,TECHNICAL ATTENDANT GRADE-5
TECHNICAL DIRECTOR,TECHNICAL DIRECTOR
TECHNICAL EXECUTIVE,TECHNICAL EXECUTIVE
TECHNICAL EXPERT,TECHNICAL EXPERT
TECHNICAL INFORMATION OFFICER,TECHNICAL INFORMATION OFFICER
TECHNICAL OFFICER,TECHNICAL OFFICER
TECHNICAL OFFICER A,TECHNICAL OFFICER A
TECHNICAL OFFICER B,TECHNICAL OFFICER B
TECHNICAL OFFICER D,TECHNICAL OFFICER D
TECHNICAL OFFICER- SB,TECHNICAL OFFICER- SB
TECHNICAL OFFICER-E,TECHNICAL OFFICER-E
TECHNICAL OFFICER-F,TECHNICAL OFFICER-F
TECHNICAL OFFICER-G,TECHNICAL OFFICER-G
TECHNICAL OPERATOR,TECHNICAL OPERATOR
TECHNICAL PUB OFFICER,TECHNICAL PUB OFFICER
TECHNICAL SECRETARY,TECHNICAL SECRETARY
TECHNICAL STENO TYPIST,TECHNICAL STENO TYPIST
TECHNICAL TYPIST,TECHNICAL TYPIST
TECHNICIAN,TECHNICIAN
TECHNICIAN GRADE A,TECHNICIAN GRADE A
TECHNICIAN GRADE B,TECHNICIAN GRADE B
TECHNICIAN GRADE C,TECHNICIAN GRADE C
TECHNICIAN GRADE D,TECHNICIAN GRADE D
TECHNICIAN GRADE E,TECHNICIAN GRADE E
TECHNICIAN GRADE F,TECHNICIAN GRADE F
TECHNICIAN GRADE G,TECHNICIAN GRADE G
TECHNICIAN-SEMI SKILLED,TECHNICIAN-SEMI SKILLED
TECHNICIAN-SKILLED,TECHNICIAN-SKILLED
TELEPHONE ATTENDANT,TELEPHONE ATTENDANT
TELEPHONE OPERATOR,TELEPHONE OPERATOR
TELEPHONE OPERATOR-I,TELEPHONE OPERATOR-I
TELEPHONE OPERATOR-II,TELEPHONE OPERATOR-II
TELEVISION ASSISTANT NEWS CORRESSPONDENT,TELEVISION ASSISTANT NEWS CORRESSPONDENT
TELEVISION NEWS CORRESSPONDENT,TELEVISION NEWS CORRESSPONDENT
TELEX OPERATOR,TELEX OPERATOR
TEMPORARY STATUS WORKER,TEMPORARY STATUS WORKER
THE THEN CHIEF SECRETARY,THE THEN CHIEF SECRETARY
THIRD SECRETARY,THIRD SECRETARY
TICKET SELLER,TICKET SELLER
TRACER,TRACER
TRADE ADVISER,TRADE ADVISER
TRADESMAN,TRADESMAN
TRADESMAN A,TRADESMAN A
TRADESMAN B,TRADESMAN B
TRADESMAN C,TRADESMAN C
TRADESMAN D,TRADESMAN D
TRADESMAN E,TRADESMAN E
TRADESMAN F,TRADESMAN F
TRADESMAN G,TRADESMAN G
TRADESMAN H,TRADESMAN H
TRADESMAN HIGHLY SKILLED GRADE-I,TRADESMAN HIGHLY SKILLED GRADE-I
TRADESMAN HIGHLY SKILLED GRADE-II,TRADESMAN HIGHLY SKILLED GRADE-II
TRADESMAN MATE,TRADESMAN MATE
TRADESMAN SKILLED GRADE,TRADESMAN SKILLED GRADE
TRAFFIC MANAGER,TRAFFIC MANAGER
TRAFFIC OFFICER,TRAFFIC OFFICER
TRAINEE,TRAINEE
TRAINER,TRAINER
TRAINING ASSISTANT,TRAINING ASSISTANT
TRAINING ASSOCIATE,TRAINING ASSOCIATE
TRAINING EQUIPMENT OPERATOR,TRAINING EQUIPMENT OPERATOR
TRAINING OFFICER,TRAINING OFFICER
TRANSLATOR,TRANSLATOR
TRANSLATOR CUM ANNOUNCER,TRANSLATOR CUM ANNOUNCER
TRANSMISSION EXECUTIVE,TRANSMISSION EXECUTIVE
TRANSPORT ASSISTANT,TRANSPORT ASSISTANT
TRANSPORT COMMISSIONER,TRANSPORT COMMISSIONER
TRANSPORT SUPERVISOR,TRANSPORT SUPERVISOR
TRAVELLING INSPECTORS OF STATION ACCOUNTS,TRAVELLING INSPECTORS OF STATION ACCOUNTS
TREASURER,TREASURER
TRIBAL WELFARE DEPARTMENT,TRIBAL WELFARE DEPARTMENT
TUBERCULOSIS SUPERINTENDENT,TUBERCULOSIS SUPERINTENDENT
TUG MASTER,TUG MASTER
TUG MASTER GRADE II,TUG MASTER GRADE II
TUTOR,TUTOR
TYPIST,TYPIST
UGC RESEARCH SCIENTIST B,UGC RESEARCH SCIENTIST B
UGC RESEARCH SCIENTIST C,UGC RESEARCH SCIENTIST C
UNDER DIVISION CLERK,UNDER DIVISION CLERK
UNDER SECRETARY,UNDER SECRETARY
UNDER SUSPENSION,UNDER SUSPENSION
UNDER TRAINING,UNDER TRAINING
UNIT MANAGER,UNIT MANAGER
UNSKILLED LABOUR,UNSKILLED LABOUR
UPPER DIVISION CLERK,UPPER DIVISION CLERK
URBAN ADVISER,URBAN ADVISER
URBAN DEVELOPMENT SPECIALIST,URBAN DEVELOPMENT SPECIALIST
VALUATION OFFICER,VALUATION OFFICER
VETERINARY ASSISTANT SURGEON,VETERINARY ASSISTANT SURGEON
VETERINARY OFFICER,VETERINARY OFFICER
VICE CHAIRMAN,VICE CHAIRMAN
VICE CHAIRPERSON,VICE CHAIRPERSON
VICE CHANCELLOR,VICE CHANCELLOR
VICE MANAGING DIRECTOR,VICE MANAGING DIRECTOR
VICE PRESIDENT,VICE PRESIDENT
VICE PRINCIPAL,VICE PRINCIPAL
VIDEO EDITOR,VIDEO EDITOR
VIDEO EXECUTIVE,VIDEO EXECUTIVE
VIGILANCE ASSISTANT,VIGILANCE ASSISTANT
VIGILANCE COMMISSIONER,VIGILANCE COMMISSIONER
VIGILANCE OFFICER,VIGILANCE OFFICER
VISITING PROFESSOR,VISITING PROFESSOR
VOLUNTARILY RETIRED,VOLUNTARILY RETIRED
WAITER,WAITER
WARDEN,WARDEN
WAREHOUSEMAN,WAREHOUSEMAN
WASH BOY,WASH BOY
WATCHMAN,WATCHMAN
WEB ADMINISTRATOR,WEB ADMINISTRATOR
WEB DESIGNER,WEB DESIGNER
WEB DEVELOPER,WEB DEVELOPER
WELDER CUM BLACKSMITH,WELDER CUM BLACKSMITH
WELFARE ADMINISTRATOR,WELFARE ADMINISTRATOR
WELFARE COMMISSIONER,WELFARE COMMISSIONER
WELFARE ENFORCEMENT OFFICER,WELFARE ENFORCEMENT OFFICER
WELFARE INSPECTOR,WELFARE INSPECTOR
WELFARE OFFICER,WELFARE OFFICER
WHARF SUPERINTENDENT,WHARF SUPERINTENDENT
WHOLE TIME MEMBER,WHOLE TIME MEMBER
WIRELESS ADVISER,WIRELESS ADVISER
WIREMAN,WIREMAN
WOMEN SCIENTIST,WOMEN SCIENTIST
WORKING PLAN OFFICER,WORKING PLAN OFFICER
WORKS MANAGER,WORKS MANAGER
WORKS STUDY OFFICER,WORKS STUDY OFFICER
WORKSHOP ACCOUNTS OFFICER,WORKSHOP ACCOUNTS OFFICER
WORKSHOP ASSISTANT ACCOUNTS OFFICER,WORKSHOP ASSISTANT ACCOUNTS OFFICER
WORKSHOP ASSISTANT ELECTRICAL ENGINEER,WORKSHOP ASSISTANT ELECTRICAL ENGINEER
WORKSHOP ELECTRICAL ENGINEER,WORKSHOP ELECTRICAL ENGINEER
WORKSHOP MANAGER,WORKSHOP MANAGER
WORKSHOP PERSONNEL OFFICER,WORKSHOP PERSONNEL OFFICER
XEROX OPERATOR,XEROX OPERATOR
YOGA INSTRUCTOR,YOGA INSTRUCTOR
YOUNG PROFESSIONAL,YOUNG PROFESSIONAL
ZILA PRAMUKH,ZILA PRAMUKH
ZONAL ADMINISTRATOR,ZONAL ADMINISTRATOR
ZONAL COMMISSIONER,ZONAL COMMISSIONER
ZONAL DIRECTOR,ZONAL DIRECTOR
ZONAL JOINT DIRECTOR GENERAL,ZONAL JOINT DIRECTOR GENERAL
ZONAL MANAGER,ZONAL MANAGER
New qa testing position,New qa testing position
ASSISTANT CONTROLLER OF MINES,ASSISTANT CONTROLLER OF MINES
ASSISTANT SUPERINTENDENT OF POSTS,ASSISTANT SUPERINTENDENT OF POSTS
SENIOR SUPERINTENDENT OF POSTS,SENIOR SUPERINTENDENT OF POSTS
ADVISOR,ADVISOR
INSPECTOR POSTS,INSPECTOR POSTS
POSTMASTER,POSTMASTER
HEAD SORTING ASSISTANT,HEAD SORTING ASSISTANT
HEAD RECORDS OFFICER,HEAD RECORDS OFFICER
POSTAL ASSISTANT,POSTAL ASSISTANT
